NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Richland,45079,SC,91,17,NA,NA,1,NA,NA,109
Greenwood,45047,SC,9,NA,NA,NA,1,NA,NA,10
Union,45087,SC,4,3,NA,1,1,NA,NA,8
Newberry,45071,SC,11,3,NA,NA,1,NA,NA,15
Hampton,45049,SC,7,1,NA,NA,1,NA,NA,9
Allendale,45005,SC,1,NA,NA,NA,1,NA,NA,2
Rhea,47143,TN,8,1,NA,NA,1,NA,NA,10
Knox,47093,TN,23,3,NA,2,1,NA,NA,27
Knott,21119,KY,NA,NA,NA,NA,NA,NA,NA,0
Allen,21003,KY,NA,NA,NA,NA,NA,NA,NA,0
Livingston,21139,KY,NA,NA,NA,NA,NA,NA,NA,0
Crittenden,21055,KY,NA,NA,NA,NA,NA,NA,NA,0
Woodford,21239,KY,NA,NA,NA,NA,NA,NA,NA,0
Perry,21193,KY,1,NA,NA,NA,NA,NA,NA,1
Nicholas,21181,KY,NA,NA,NA,NA,NA,NA,NA,0
Owsley,21189,KY,NA,NA,NA,NA,NA,NA,NA,0
Harrison,21097,KY,NA,NA,NA,NA,NA,NA,NA,0
Elliott,21063,KY,NA,NA,NA,NA,NA,NA,NA,0
Bossier,22015,LA,7,5,NA,NA,1,NA,NA,13
Pointe Coupee,22077,LA,2,NA,NA,NA,NA,NA,NA,2
West Feliciana,22125,LA,23,2,NA,NA,1,NA,NA,26
St. Helena,22091,LA,1,NA,NA,NA,1,NA,NA,2
Catahoula,22025,LA,8,1,NA,NA,1,NA,NA,10
Howard,24027,MD,11,1,NA,NA,NA,NA,NA,12
Leflore,28083,MS,NA,1,NA,NA,1,NA,NA,2
Stone,28131,MS,10,1,NA,NA,1,NA,NA,12
Holmes,28051,MS,NA,2,NA,NA,1,NA,NA,3
Wilkinson,28157,MS,NA,3,NA,NA,1,NA,NA,4
Calhoun,28013,MS,6,3,NA,2,1,NA,NA,10
Callaway,29027,MO,NA,NA,NA,NA,NA,NA,NA,0
Lincoln,29113,MO,NA,NA,NA,NA,NA,NA,NA,0
Madison,29123,MO,NA,NA,NA,NA,1,NA,NA,1
Stoddard,29207,MO,NA,NA,NA,NA,NA,NA,NA,0
Brunswick,37019,NC,48,4,NA,2,1,NA,NA,53
Mecklenburg,37119,NC,110,1,NA,NA,1,NA,NA,112
Person,37145,NC,8,NA,NA,NA,1,NA,NA,9
Le Flore,40079,OK,9,2,NA,2,NA,NA,NA,11
Anderson,45007,SC,55,10,NA,3,1,NA,NA,66
Spartanburg,45083,SC,55,1,NA,NA,1,NA,NA,57
Weakley,47183,TN,1,NA,NA,NA,1,NA,NA,2
Chambers,48071,TX,10,1,NA,NA,NA,NA,NA,11
Presidio,48377,TX,NA,NA,NA,NA,NA,NA,NA,0
Collingsworth,48087,TX,NA,NA,NA,NA,NA,NA,NA,0
Patrick,51141,VA,1,NA,NA,NA,NA,NA,NA,1
Buchanan,51027,VA,NA,NA,NA,NA,NA,NA,NA,0
